,population,latitude,longitude
0,0,40.1360109,-88.26378697
1,0,40.13498075,-88.25773604
2,0,40.13459354,-88.25666534
3,0,40.15658214,-88.26651691
4,0,40.12483739,-88.2443708
5,0,40.09526470000001,-88.18068356
6,165,40.09397861,-88.16579644
7,0,40.09957352,-88.23228069
8,0,40.11915177,-88.30607938
9,0,40.09224141,-88.24430073
10,0,40.13029621,-88.21539324
11,0,40.13186632,-88.21330026
12,555,40.1322389,-88.24984988
13,0,40.14291154,-88.28969813
14,0,40.10018219,-88.22667063
15,0,40.09921209,-88.22453372
16,0,40.0999296,-88.22454212
17,0,40.11541679999999,-88.20698581
18,11,40.0740081,-88.13302015
19,0,40.12903526,-88.23493808
20,4,40.08763211,-88.17089799
21,0,40.1146045,-88.20938948
22,125,40.07947533,-88.18254001
23,0,40.13690969,-88.1941207
24,0,40.13486798,-88.21457067
25,0,40.13536637,-88.21224304
26,43,40.08161789,-88.2494906
27,0,40.13939456,-88.28545439
28,0,40.12235523,-88.23848743
29,17,40.13031836,-88.30737359
30,45,40.08107198,-88.18457827
31,380,40.075726,-88.25428959
32,44,40.09972932,-88.31025108
33,108,40.09065701,-88.31025641
34,209,40.12304559,-88.30146721
35,87,40.08795508,-88.28686075
36,102,40.12705189,-88.29751846
37,75,40.0878567,-88.26682530000001
38,145,40.07859834,-88.29887362
39,311,40.08006905,-88.30165694
40,168,40.10371381,-88.30767976
41,88,40.1212545,-88.28789459
42,60,40.11019002,-88.28866643
43,3,40.0845185,-88.28950340000002
44,72,40.08035185,-88.28479207
45,67,40.09209788,-88.28433317
46,56,40.07484937,-88.26019118
47,296,40.0661256,-88.25196713
48,1439,40.10364749,-88.22096385
49,128,40.09025847,-88.31727590000001
50,47,40.10003488,-88.31250334
51,136,40.07514256,-88.19826865
52,40,40.08799213,-88.20609777
53,31,40.13336186,-88.18776596
54,13,40.13670685,-88.18414544
55,75,40.10794558,-88.17443022
56,56,40.09505975,-88.13387991
57,65,40.06855745,-88.29365697
58,60,40.10266327,-88.31206781
59,421,40.10765406,-88.30849868
60,157,40.12912558,-88.31241381
61,97,40.12936167,-88.31015532
62,199,40.08005678,-88.26650787
63,0,40.11419145,-88.20054849
64,0,40.13551564,-88.23205356
65,2,40.13914616,-88.29439289
66,0,40.13631593,-88.23102104
67,0,40.10037596,-88.24399022
68,424,40.12456379,-88.30977768
69,0,40.11084077,-88.22717255
70,0,40.13048437,-88.15005051
71,0,40.11242383,-88.21570142
72,46,40.11208521,-88.21697567
73,0,40.11191894,-88.21689799
74,40,40.12911741,-88.23941151
75,0,40.08861571,-88.17847347
76,0,40.09139609,-88.24368473
77,0,40.08914794,-88.21523988
78,0,40.09338815,-88.24433121
79,11,40.09298632,-88.31402182
80,0,40.13468757,-88.21955163
81,0,40.08779829,-88.21762676
82,0,40.09782889,-88.17505713
83,71,40.08966814,-88.32351973
84,0,40.11314227,-88.22480492
85,1347,40.10979277,-88.22158341
86,56,40.10504968,-88.2263142
87,0,40.09634779,-88.22140136
88,172,40.11251698,-88.21854594
89,128,40.11250601,-88.21999307
90,47,40.11317777,-88.22000368
91,0,40.10752346,-88.22039718
92,54,40.11397336,-88.21843473
93,64,40.11167518,-88.21686142
94,19,40.09860134,-88.21833759
95,51,40.10026403,-88.21316775
96,39,40.09945361,-88.2131525
97,0,40.08733036,-88.24789824
98,72,40.05912527,-88.2443136
99,38,40.108272899999996,-88.27013001
100,31,40.08949566,-88.28055278
101,36,40.0858797,-88.28043342
102,38,40.08519401,-88.27050139
103,185,40.10761796,-88.24591797
104,27,40.08784031,-88.20888158
105,33,40.08476941,-88.2029841
106,89,40.05612299,-88.24445832
107,0,40.13468614,-88.20491149
108,11,40.11576456,-88.21119419
109,0,40.11778904,-88.21370853
110,18,40.12529093,-88.20593137
111,5,40.12607186,-88.20483317
112,49,40.12300803,-88.20632572
113,47,40.12542389,-88.19846598
114,61,40.11965328,-88.17721382
115,36,40.08494645,-88.27401611
116,17,40.13071426,-88.19567715
117,17,40.11089685,-88.21247288
118,1,40.11660547,-88.23290979
119,33,40.10949977,-88.21244237
120,14,40.11214753,-88.21108783
